Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency
ABBVIE INC,ABBV,00287Y109,B92SR70,3.022369,-,811621.000,USD
GILEAD SCIENCES INC,GILD,375558103,2369174,3.002071,-,1531969.000,USD
AMGEN INC,AMGN,031162100,2023607,2.855145,-,517571.000,USD
VERTEX PHARMACEUTICALS INC,VRTX,92532F100,2931034,2.682702,-,302238.000,USD
BIOMARIN PHARMACEUTICAL INC,BMRN,09061G101,2437071,2.619586,-,2145325.000,USD
INSMED INC,INSM,457669307,2614487,2.567365,-,1907272.000,USD
TG THERAPEUTICS INC,TGTX,88322Q108,B828K63,2.509478,-,3494362.000,USD
HALOZYME THERAPEUTICS INC,HALO,40637H109,2975098,2.499256,-,2282454.000,USD
ALNYLAM PHARMACEUTICALS INC,ALNY,02043Q107,B00FWN1,2.367049,-,556792.000,USD
INCYTE CORP,INCY,45337C102,2471950,2.329664,-,1952314.000,USD
NATERA INC,NTRA,632307104,BYQRG48,2.207137,-,846823.000,USD
BIOGEN INC,BIIB,09062X103,2455965,2.203863,-,898809.000,USD
NEUROCRINE BIOSCIENCES INC,NBIX,64125C109,2623911,2.149561,-,1103764.000,USD
REGENERON PHARMACEUTICALS,REGN,75886F107,2730190,2.147463,-,183128.000,USD
MADRIGAL PHARMACEUTICALS INC,MDGL,558868105,BD59BS7,2.140055,-,349365.000,USD
UNITED THERAPEUTICS CORP,UTHR,91307C102,2430412,2.111586,-,390842.000,USD
VAXCYTE INC,PCVX,92243G108,BKPVGH6,2.032832,-,1554440.000,USD
MODERNA INC,MRNA,60770K107,BGSXTS3,2.010493,-,3302522.000,USD
SAREPTA THERAPEUTICS INC,SRPT,803607100,B8DPDT7,1.929132,-,1128783.000,USD
EXACT SCIENCES CORP,EXAS,30063P105,2719951,1.773261,-,2240940.000,USD
ADMA BIOLOGICS INC,ADMA,000899104,B9NSBM2,1.753683,-,5411229.000,USD
VIKING THERAPEUTICS INC,VKTX,92686J106,BQQG1V1,1.553239,-,2859503.000,USD
BRIDGEBIO PHARMA INC,BBIO,10806X102,BK1KWG8,1.529967,-,2638963.000,USD
BLUEPRINT MEDICINES CORP,BPMC,09627Y109,BWY52P3,1.476503,-,937332.000,USD
IONIS PHARMACEUTICALS INC,IONS,462222100,BDJ0LS6,1.450647,-,2502907.000,USD
EXELIXIS INC,EXEL,30161Q104,2576941,1.439798,-,2234075.000,USD
ROIVANT SCIENCES LTD,ROIV,G76279101,BMW4NZ9,1.408772,-,7515427.000,USD
CYTOKINETICS INC,CYTK,23282W605,BBBSBJ5,1.359262,-,1742536.000,USD
ALKERMES PLC,ALKS,G01767105,B3P6D26,1.322825,-,2210603.000,USD
CRISPR THERAPEUTICS AG,CRSP,H17182108,BDHF4K6,1.295359,-,1748928.000,USD
REVOLUTION MEDICINES INC,RVMD,76155X100,BL71K91,1.253513,-,1822217.000,USD
SUMMIT THERAPEUTICS INC,SMMT,86627T108,BMTVQS7,1.201927,-,3287711.000,USD
SPRINGWORKS THERAPEUTICS INC,SWTX,85205L107,BGMGM89,1.166530,-,1297195.000,USD
APELLIS PHARMACEUTICALS INC,APLS,03753U106,BYTQ6X1,1.104355,-,2546747.000,USD
AVIDITY BIOSCIENCES INC,RNA,05370A108,BMWHPY1,1.021261,-,1866839.000,USD
PROTAGONIST THERAPEUTICS INC,PTGX,74366E102,BDCBCD8,0.970637,-,1007639.000,USD
ARCELLX INC,ACLX,03940C100,BPCJ1Q2,0.944765,-,749542.000,USD
KRYSTAL BIOTECH INC,KRYS,501147102,BD6JX35,0.905529,-,287077.000,USD
NUVALENT INC A,NUVL,670703107,BMVBZD3,0.846766,-,625297.000,USD
PTC THERAPEUTICS INC,PTCT,69366J200,B17VCN9,0.789239,-,823535.000,USD
ULTRAGENYX PHARMACEUTICAL IN,RARE,90400D108,BJ62Z18,0.739417,-,1068871.000,USD
BIOHAVEN LTD,BHVN,G1110E107,BPLZ7S5,0.731408,-,1426892.000,USD
RECURSION PHARMACEUTICALS A,RXRX,75629V104,BM9FJ13,0.701564,-,6282956.000,USD
TWIST BIOSCIENCE CORP,TWST,90184D100,BGKG6G7,0.691829,-,984563.000,USD
TRAVERE THERAPEUTICS INC,TVTX,89422G107,BLFGJD5,0.646065,-,1862170.000,USD
DYNAVAX TECHNOLOGIES CORP,DVAX,268158201,BRJZSK0,0.639031,-,2620088.000,USD
SOLENO THERAPEUTICS INC,SLNO,834203309,BL6JK96,0.606505,-,699045.000,USD
AKERO THERAPEUTICS INC,AKRO,00973Y108,BK7Y2V9,0.594808,-,766154.000,USD
CELLDEX THERAPEUTICS INC,CLDX,15117B202,BJLV8T9,0.577806,-,1609151.000,USD
ARCUTIS BIOTHERAPEUTICS INC,ARQT,03969K108,BKX9VD3,0.568606,-,2211740.000,USD
AMICUS THERAPEUTICS INC,FOLD,03152W109,B19FQ48,0.548638,-,3505627.000,USD
ARDELYX INC,ARDX,039697107,BN89V40,0.540843,-,5622816.000,USD
NOVAVAX INC,NVAX,670002401,BJDQXG4,0.529212,-,3766631.000,USD
VERACYTE INC,VCYT,92337F107,BFTWZY0,0.528343,-,953538.000,USD
CRINETICS PHARMACEUTICALS IN,CRNX,22663K107,BDD19F8,0.517823,-,854299.000,USD
VIRIDIAN THERAPEUTICS INC,VRDN,92790C104,BMDH2B6,0.511169,-,1825961.000,USD
SCHOLAR ROCK HOLDING CORP,SRRK,80706P103,BFZQ0L8,0.499513,-,820995.000,USD
BEAM THERAPEUTICS INC,BEAM,07373V105,BK6L288,0.497754,-,1168239.000,USD
ACADIA PHARMACEUTICALS INC,ACAD,004225108,2713317,0.486152,-,1579807.000,USD
RHYTHM PHARMACEUTICALS INC,RYTM,76243J105,BF2YWG4,0.474986,-,529952.000,USD
VERA THERAPEUTICS INC,VERA,92337R101,BL55460,0.455600,-,925659.000,USD
CATALYST PHARMACEUTICALS INC,CPRX,14888U101,B1G7Q03,0.455117,-,1231291.000,USD
INTELLIA THERAPEUTICS INC,NTLA,45826J105,BYZM6C2,0.431304,-,2683534.000,USD
SYNDAX PHARMACEUTICALS INC,SNDX,87164F105,BN7Q7R7,0.426589,-,1873313.000,USD
APOGEE THERAPEUTICS INC,APGE,03770N101,BM9HHL5,0.425824,-,606306.000,USD
IMMUNOVANT INC,IMVT,45258J102,BJRFSB7,0.420932,-,1226316.000,USD
CAREDX INC,CDNA,14167L103,BP3YM74,0.418686,-,1259786.000,USD
IDEAYA BIOSCIENCES INC,IDYA,45166A102,BK0VHF6,0.406164,-,1243156.000,USD
CG ONCOLOGY INC,CGON,156944100,BRBCSP4,0.404597,-,827653.000,USD
AGIOS PHARMACEUTICALS INC,AGIO,00847X104,BCBVTX1,0.402068,-,739248.000,USD
DENALI THERAPEUTICS INC,DNLI,24823R105,BD2B4V0,0.395856,-,1485919.000,USD
ARROWHEAD PHARMACEUTICALS IN,ARWR,04280A100,BYQBFJ8,0.384926,-,1425135.000,USD
DYNE THERAPEUTICS INC,DYN,26818M108,BN15WD1,0.373136,-,1760962.000,USD
MIRUM PHARMACEUTICALS INC,MIRM,604749101,BJDX8Y8,0.369724,-,474832.000,USD
IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,BF0DMK7,0.369291,-,5849847.000,USD
GERON CORP,GERN,374163103,2370381,0.366371,-,12704187.000,USD
KYMERA THERAPEUTICS INC,KYMR,501575104,BMPRZV5,0.361529,-,598182.000,USD
VERICEL CORP,VCEL,92346J108,BSBMN89,0.349774,-,438322.000,USD
BIOCRYST PHARMACEUTICALS INC,BCRX,09058V103,2100362,0.334349,-,2469330.000,USD
MYRIAD GENETICS INC,MYGN,62855J104,2614153,0.309338,-,1746925.000,USD
CAPRICOR THERAPEUTICS INC,CAPR,14070B309,BK7Y2Z3,0.308981,-,1328133.000,USD
ARS PHARMACEUTICALS INC,SPRY,82835W108,BMCR7V2,0.308100,-,1476086.000,USD
